date,year,country_code,name,description,primary_type,types,locations,strength
1/27/25,2025,KR,Seollal Holiday,Seollal Holiday is a public holiday in South Korea,Public Holiday,National holiday,All,3
1/28/25,2025,KR,Seollal Holiday,Seollal Holiday is a public holiday in South Korea,Public Holiday,National holiday,All,3
1/29/25,2025,KR,Seollal,"Lunar New Year is the first day of the Chinese calendar, which is a lunisolar calendar mainly used for traditional celebrations.",Public Holiday,National holiday,All,3
1/30/25,2025,KR,Seollal Holiday,Seollal Holiday is a public holiday in South Korea,Public Holiday,National holiday,All,3
3/1/25,2025,KR,Independence Movement Day,Independence Movement Day is a national holiday in South Korea,National holiday,National holiday,All,3
3/3/25,2025,KR,Day off for Independence Movement Day,Independence Movement Day is a national holiday in South Korea,National holiday,National holiday,All,3
5/1/25,2025,KR,Labor Day,"Labor Day, International Workers' Day, and May Day, is a day off for workers in many countries around the world.",Bank Holiday,National holiday,All,3
5/5/25,2025,KR,Buddha’s Birthday,Buddha’s Birthday is a public holiday in South Korea,Public Holiday,National holiday,All,3
5/5/25,2025,KR,Children's Day,Children's Day is a public holiday in South Korea,Public Holiday,National holiday,All,3
5/6/25,2025,KR,Day off for Children's Day,Children's Day is a public holiday in South Korea,Public Holiday,National holiday,All,3
6/3/25,2025,KR,Presidential Election,Presidential Election is a public holiday in South Korea,Public Holiday,National holiday,All,3
6/6/25,2025,KR,Memorial Day,Memorial Day is a public holiday in South Korea,Public Holiday,National holiday,All,3
8/15/25,2025,KR,Liberation Day,Liberation Day is a national holiday in South Korea,National holiday,National holiday,All,3
10/3/25,2025,KR,National Foundation Day,National Foundation Day is a national holiday in South Korea,National holiday,National holiday,All,3
10/5/25,2025,KR,Chuseok Holiday,Chuseok Holiday is a public holiday in South Korea,Public Holiday,National holiday,All,3
10/6/25,2025,KR,Chuseok,Chuseok is a public holiday in South Korea,Public Holiday,National holiday,All,3
10/7/25,2025,KR,Chuseok Holiday,Chuseok Holiday is a public holiday in South Korea,Public Holiday,National holiday,All,3
10/8/25,2025,KR,Day off for Chuseok Holiday,Chuseok Holiday is a public holiday in South Korea,Public Holiday,National holiday,All,3
10/9/25,2025,KR,Hangeul Proclamation Day,Hangeul Proclamation Day is a national holiday in South Korea,National holiday,National holiday,All,3
12/25/25,2025,KR,Christmas Day,Christmas Day is one of the biggest Christian celebrations and falls on December 25 in the Gregorian calendar.,Public Holiday,National holiday,All,3
1/1/08,2008,DE,New Year's Day,"New Year's Day, which is on January 1, or the first day of the year in the Gregorian Calendar, is a public holiday in Germany.",National holiday,National holiday,All,3
2/6/08,2008,DE,Carnival / Ash Wednesday,Ash Wednesday marks the first day of Lent in western Christian churches.,Silent Day,Observance|Christian,All,3
3/20/08,2008,DE,Maundy Thursday,Maundy Thursday is a Christian observance on the Thursday during Holy Week. It is the day before Good Friday.,Silent Day,Observance|Christian,BY,3
3/21/08,2008,DE,Good Friday,Many Christians in Germany observe the Good Friday public holiday to mark the crucifixion of Jesus Christ.,Christian,National holiday|Christian,All,3
3/22/08,2008,DE,Holy Saturday,Holy Saturday is the day before Easter Sunday.,Silent Day,Observance|Christian,"BY, HE, NDS, SL, RLP",3
3/24/08,2008,DE,Easter Monday,Many people in Germany annually observe Easter Monday on the day after Easter Sunday. It is a public holiday in all states.,Christian,National holiday|Christian,All,3
5/1/08,2008,DE,May Day,May Day in Germany is a holiday to celebrate the start of spring and to campaign for workers' rights. It is always on May 1.,National holiday,National holiday,All,3
5/1/08,2008,DE,Ascension Day,Ascension Day in Germany is on a Thursday 39 days after Easter Sunday.,Christian,National holiday|Christian,All,3
5/12/08,2008,DE,Whit Monday,"The Second Day of Pentecost is, which is on the Monday after Pentecost (or Whitsunday), is a public holiday in Germany.",Christian,National holiday|Christian,All,3
10/3/08,2008,DE,Day of German Unity,German Unity Day celebrates Germany's unification in 1990. It is on October 3 each year.,National holiday,National holiday,All,3
11/2/08,2008,DE,All Souls' Day,All Souls’ Day falls on November 2 each year. It is a day of alms giving and prayers for the dead.,Silent Day,Observance|Christian,NDS (community),3
12/24/08,2008,DE,Christmas Eve,Christmas Eve is the day before Christmas Day and the start of the Christmas celebration. It always falls on December 24 in Germany.,Silent Day,Christian|Half-day holiday,All,3
12/25/08,2008,DE,Christmas Day,Christmas Day marks the birth of Jesus Christ and is a public holiday in Germany. It is on December 25 each year.,Christian,National holiday|Christian,All,3
12/26/08,2008,DE,Boxing Day,The Second Day of Christmas is a public holiday in Germany. It always falls on December 26.,Christian,National holiday|Christian,All,3
12/31/08,2008,DE,New Year's Eve,New Year's Eve in Germany is annually celebrated on December 31. It is the last day of the year in the Gregorian calendar.,Bank holiday,Half-day holiday,All,3
1/1/09,2009,DE,New Year's Day,"New Year's Day, which is on January 1, or the first day of the year in the Gregorian Calendar, is a public holiday in Germany.",National holiday,National holiday,All,3
2/25/09,2009,DE,Carnival / Ash Wednesday,Ash Wednesday marks the first day of Lent in western Christian churches.,Silent Day,Observance|Christian,All,3
4/9/09,2009,DE,Maundy Thursday,Maundy Thursday is a Christian observance on the Thursday during Holy Week. It is the day before Good Friday.,Silent Day,Observance|Christian,BY,3
4/10/09,2009,DE,Good Friday,Many Christians in Germany observe the Good Friday public holiday to mark the crucifixion of Jesus Christ.,Christian,National holiday|Christian,All,3
4/11/09,2009,DE,Holy Saturday,Holy Saturday is the day before Easter Sunday.,Silent Day,Observance|Christian,"BY, HE, NDS, SL, RLP",3
4/13/09,2009,DE,Easter Monday,Many people in Germany annually observe Easter Monday on the day after Easter Sunday. It is a public holiday in all states.,Christian,National holiday|Christian,All,3
5/1/09,2009,DE,May Day,May Day in Germany is a holiday to celebrate the start of spring and to campaign for workers' rights. It is always on May 1.,National holiday,National holiday,All,3
5/21/09,2009,DE,Ascension Day,Ascension Day in Germany is on a Thursday 39 days after Easter Sunday.,Christian,National holiday|Christian,All,3
6/1/09,2009,DE,Whit Monday,"The Second Day of Pentecost is, which is on the Monday after Pentecost (or Whitsunday), is a public holiday in Germany.",Christian,National holiday|Christian,All,3
10/3/09,2009,DE,Day of German Unity,German Unity Day celebrates Germany's unification in 1990. It is on October 3 each year.,National holiday,National holiday,All,3
11/2/09,2009,DE,All Souls' Day,All Souls’ Day falls on November 2 each year. It is a day of alms giving and prayers for the dead.,Silent Day,Observance|Christian,NDS (community),3
12/24/09,2009,DE,Christmas Eve,Christmas Eve is the day before Christmas Day and the start of the Christmas celebration. It always falls on December 24 in Germany.,Silent Day,Christian|Half-day holiday,All,3
12/25/09,2009,DE,Christmas Day,Christmas Day marks the birth of Jesus Christ and is a public holiday in Germany. It is on December 25 each year.,Christian,National holiday|Christian,All,3
12/26/09,2009,DE,Boxing Day,The Second Day of Christmas is a public holiday in Germany. It always falls on December 26.,Christian,National holiday|Christian,All,3
12/31/09,2009,DE,New Year's Eve,New Year's Eve in Germany is annually celebrated on December 31. It is the last day of the year in the Gregorian calendar.,Bank holiday,Half-day holiday,All,3
1/1/10,2010,DE,New Year's Day,"New Year's Day, which is on January 1, or the first day of the year in the Gregorian Calendar, is a public holiday in Germany.",National holiday,National holiday,All,3
2/17/10,2010,DE,Carnival / Ash Wednesday,Ash Wednesday marks the first day of Lent in western Christian churches.,Silent Day,Observance|Christian,All,3
4/1/10,2010,DE,Maundy Thursday,Maundy Thursday is a Christian observance on the Thursday during Holy Week. It is the day before Good Friday.,Silent Day,Observance|Christian,"BY, HE, NRW, RLP, SL",3
4/2/10,2010,DE,Good Friday,Many Christians in Germany observe the Good Friday public holiday to mark the crucifixion of Jesus Christ.,Christian,National holiday|Christian,All,3
4/3/10,2010,DE,Holy Saturday,Holy Saturday is the day before Easter Sunday.,Silent Day,Observance|Christian,"BY, HE, NDS, SL, RLP",3
4/5/10,2010,DE,Easter Monday,Many people in Germany annually observe Easter Monday on the day after Easter Sunday. It is a public holiday in all states.,Christian,National holiday|Christian,All,3
5/1/10,2010,DE,May Day,May Day in Germany is a holiday to celebrate the start of spring and to campaign for workers' rights. It is always on May 1.,National holiday,National holiday,All,3
5/13/10,2010,DE,Ascension Day,Ascension Day in Germany is on a Thursday 39 days after Easter Sunday.,Christian,National holiday|Christian,All,3
5/24/10,2010,DE,Whit Monday,"The Second Day of Pentecost is, which is on the Monday after Pentecost (or Whitsunday), is a public holiday in Germany.",Christian,National holiday|Christian,All,3
10/3/10,2010,DE,Day of German Unity,German Unity Day celebrates Germany's unification in 1990. It is on October 3 each year.,National holiday,National holiday,All,3
11/2/10,2010,DE,All Souls' Day,All Souls’ Day falls on November 2 each year. It is a day of alms giving and prayers for the dead.,Silent Day,Observance|Christian,NDS (community),3
12/24/10,2010,DE,Christmas Eve,Christmas Eve is the day before Christmas Day and the start of the Christmas celebration. It always falls on December 24 in Germany.,Silent Day,Christian|Half-day holiday,All,3
12/25/10,2010,DE,Christmas Day,Christmas Day marks the birth of Jesus Christ and is a public holiday in Germany. It is on December 25 each year.,Christian,National holiday|Christian,All,3
12/26/10,2010,DE,Boxing Day,The Second Day of Christmas is a public holiday in Germany. It always falls on December 26.,Christian,National holiday|Christian,All,3
12/31/10,2010,DE,New Year's Eve,New Year's Eve in Germany is annually celebrated on December 31. It is the last day of the year in the Gregorian calendar.,Bank holiday,Half-day holiday,All,3
1/1/11,2011,DE,New Year's Day,"New Year's Day, which is on January 1, or the first day of the year in the Gregorian Calendar, is a public holiday in Germany.",National holiday,National holiday,All,3
3/9/11,2011,DE,Carnival / Ash Wednesday,Ash Wednesday marks the first day of Lent in western Christian churches.,Silent Day,Observance|Christian,All,3
4/21/11,2011,DE,Maundy Thursday,Maundy Thursday is a Christian observance on the Thursday during Holy Week. It is the day before Good Friday.,Silent Day,Observance|Christian,"BY, HE, NRW, RLP, SL",3
4/22/11,2011,DE,Good Friday,Many Christians in Germany observe the Good Friday public holiday to mark the crucifixion of Jesus Christ.,Christian,National holiday|Christian,All,3
4/23/11,2011,DE,Holy Saturday,Holy Saturday is the day before Easter Sunday.,Silent Day,Observance|Christian,"BY, HE, NDS, SL, RLP",3
4/25/11,2011,DE,Easter Monday,Many people in Germany annually observe Easter Monday on the day after Easter Sunday. It is a public holiday in all states.,Christian,National holiday|Christian,All,3
5/1/11,2011,DE,May Day,May Day in Germany is a holiday to celebrate the start of spring and to campaign for workers' rights. It is always on May 1.,National holiday,National holiday,All,3
6/2/11,2011,DE,Ascension Day,Ascension Day in Germany is on a Thursday 39 days after Easter Sunday.,Christian,National holiday|Christian,All,3
6/13/11,2011,DE,Whit Monday,"The Second Day of Pentecost is, which is on the Monday after Pentecost (or Whitsunday), is a public holiday in Germany.",Christian,National holiday|Christian,All,3
10/3/11,2011,DE,Day of German Unity,German Unity Day celebrates Germany's unification in 1990. It is on October 3 each year.,National holiday,National holiday,All,3
11/2/11,2011,DE,All Souls' Day,All Souls’ Day falls on November 2 each year. It is a day of alms giving and prayers for the dead.,Silent Day,Observance|Christian,NDS (community),3
12/24/11,2011,DE,Christmas Eve,Christmas Eve is the day before Christmas Day and the start of the Christmas celebration. It always falls on December 24 in Germany.,Silent Day,Christian|Half-day holiday,All,3
12/25/11,2011,DE,Christmas Day,Christmas Day marks the birth of Jesus Christ and is a public holiday in Germany. It is on December 25 each year.,Christian,National holiday|Christian,All,3
12/26/11,2011,DE,Boxing Day,The Second Day of Christmas is a public holiday in Germany. It always falls on December 26.,Christian,National holiday|Christian,All,3
12/31/11,2011,DE,New Year's Eve,New Year's Eve in Germany is annually celebrated on December 31. It is the last day of the year in the Gregorian calendar.,Bank holiday,Half-day holiday,All,3
1/1/12,2012,DE,New Year's Day,"New Year's Day, which is on January 1, or the first day of the year in the Gregorian Calendar, is a public holiday in Germany.",National holiday,National holiday,All,3
2/22/12,2012,DE,Carnival / Ash Wednesday,Ash Wednesday marks the first day of Lent in western Christian churches.,Silent Day,Observance|Christian,All,3
4/5/12,2012,DE,Maundy Thursday,Maundy Thursday is a Christian observance on the Thursday during Holy Week. It is the day before Good Friday.,Silent Day,Observance|Christian,"BY, HE, NRW, RLP, SL",3
4/6/12,2012,DE,Good Friday,Many Christians in Germany observe the Good Friday public holiday to mark the crucifixion of Jesus Christ.,Christian,National holiday|Christian,All,3
4/7/12,2012,DE,Holy Saturday,Holy Saturday is the day before Easter Sunday.,Silent Day,Observance|Christian,"BY, HE, NDS, SL, RLP",3
4/9/12,2012,DE,Easter Monday,Many people in Germany annually observe Easter Monday on the day after Easter Sunday. It is a public holiday in all states.,Christian,National holiday|Christian,All,3
5/1/12,2012,DE,May Day,May Day in Germany is a holiday to celebrate the start of spring and to campaign for workers' rights. It is always on May 1.,National holiday,National holiday,All,3
5/17/12,2012,DE,Ascension Day,Ascension Day in Germany is on a Thursday 39 days after Easter Sunday.,Christian,National holiday|Christian,All,3
5/28/12,2012,DE,Whit Monday,"The Second Day of Pentecost is, which is on the Monday after Pentecost (or Whitsunday), is a public holiday in Germany.",Christian,National holiday|Christian,All,3
10/3/12,2012,DE,Day of German Unity,German Unity Day celebrates Germany's unification in 1990. It is on October 3 each year.,National holiday,National holiday,All,3
11/2/12,2012,DE,All Souls' Day,All Souls’ Day falls on November 2 each year. It is a day of alms giving and prayers for the dead.,Silent Day,Observance|Christian,NDS (community),3
12/24/12,2012,DE,Christmas Eve,Christmas Eve is the day before Christmas Day and the start of the Christmas celebration. It always falls on December 24 in Germany.,Silent Day,Christian|Half-day holiday,All,3
12/25/12,2012,DE,Christmas Day,Christmas Day marks the birth of Jesus Christ and is a public holiday in Germany. It is on December 25 each year.,Christian,National holiday|Christian,All,3
12/26/12,2012,DE,Boxing Day,The Second Day of Christmas is a public holiday in Germany. It always falls on December 26.,Christian,National holiday|Christian,All,3
12/31/12,2012,DE,New Year's Eve,New Year's Eve in Germany is annually celebrated on December 31. It is the last day of the year in the Gregorian calendar.,Bank holiday,Half-day holiday,All,3
1/1/13,2013,DE,New Year's Day,"New Year's Day, which is on January 1, or the first day of the year in the Gregorian Calendar, is a public holiday in Germany.",National holiday,National holiday,All,3
2/13/13,2013,DE,Carnival / Ash Wednesday,Ash Wednesday marks the first day of Lent in western Christian churches.,Silent Day,Observance|Christian,All,3
3/28/13,2013,DE,Maundy Thursday,Maundy Thursday is a Christian observance on the Thursday during Holy Week. It is the day before Good Friday.,Silent Day,Observance|Christian,"BY, HE, NRW, RLP, SL",3
3/29/13,2013,DE,Good Friday,Many Christians in Germany observe the Good Friday public holiday to mark the crucifixion of Jesus Christ.,Christian,National holiday|Christian,All,3
3/30/13,2013,DE,Holy Saturday,Holy Saturday is the day before Easter Sunday.,Silent Day,Observance|Christian,"BY, HE, NDS, SL, RLP",3
4/1/13,2013,DE,Easter Monday,Many people in Germany annually observe Easter Monday on the day after Easter Sunday. It is a public holiday in all states.,Christian,National holiday|Christian,All,3
5/1/13,2013,DE,May Day,May Day in Germany is a holiday to celebrate the start of spring and to campaign for workers' rights. It is always on May 1.,National holiday,National holiday,All,3
5/9/13,2013,DE,Ascension Day,Ascension Day in Germany is on a Thursday 39 days after Easter Sunday.,Christian,National holiday|Christian,All,3
5/20/13,2013,DE,Whit Monday,"The Second Day of Pentecost is, which is on the Monday after Pentecost (or Whitsunday), is a public holiday in Germany.",Christian,National holiday|Christian,All,3
10/3/13,2013,DE,Day of German Unity,German Unity Day celebrates Germany's unification in 1990. It is on October 3 each year.,National holiday,National holiday,All,3
11/2/13,2013,DE,All Souls' Day,All Souls’ Day falls on November 2 each year. It is a day of alms giving and prayers for the dead.,Silent Day,Observance|Christian,NDS (community),3
12/24/13,2013,DE,Christmas Eve,Christmas Eve is the day before Christmas Day and the start of the Christmas celebration. It always falls on December 24 in Germany.,Silent Day,Christian|Half-day holiday,All,3
12/25/13,2013,DE,Christmas Day,Christmas Day marks the birth of Jesus Christ and is a public holiday in Germany. It is on December 25 each year.,Christian,National holiday|Christian,All,3
12/26/13,2013,DE,Boxing Day,The Second Day of Christmas is a public holiday in Germany. It always falls on December 26.,Christian,National holiday|Christian,All,3
12/31/13,2013,DE,New Year's Eve,New Year's Eve in Germany is annually celebrated on December 31. It is the last day of the year in the Gregorian calendar.,Bank holiday,Half-day holiday,All,3
1/1/14,2014,DE,New Year's Day,"New Year's Day, which is on January 1, or the first day of the year in the Gregorian Calendar, is a public holiday in Germany.",National holiday,National holiday,All,3
3/5/14,2014,DE,Carnival / Ash Wednesday,Ash Wednesday marks the first day of Lent in western Christian churches.,Silent Day,Observance|Christian,All,3
4/17/14,2014,DE,Maundy Thursday,Maundy Thursday is a Christian observance on the Thursday during Holy Week. It is the day before Good Friday.,Silent Day,Observance|Christian,"BY, HE, NRW, RLP, SL",3
4/18/14,2014,DE,Good Friday,Many Christians in Germany observe the Good Friday public holiday to mark the crucifixion of Jesus Christ.,Christian,National holiday|Christian,All,3
4/19/14,2014,DE,Holy Saturday,Holy Saturday is the day before Easter Sunday.,Silent Day,Observance|Christian,"BY, HE, NDS, SL, RLP",3
4/21/14,2014,DE,Easter Monday,Many people in Germany annually observe Easter Monday on the day after Easter Sunday. It is a public holiday in all states.,Christian,National holiday|Christian,All,3
5/1/14,2014,DE,May Day,May Day in Germany is a holiday to celebrate the start of spring and to campaign for workers' rights. It is always on May 1.,National holiday,National holiday,All,3
5/29/14,2014,DE,Ascension Day,Ascension Day in Germany is on a Thursday 39 days after Easter Sunday.,Christian,National holiday|Christian,All,3
6/9/14,2014,DE,Whit Monday,"The Second Day of Pentecost is, which is on the Monday after Pentecost (or Whitsunday), is a public holiday in Germany.",Christian,National holiday|Christian,All,3
10/3/14,2014,DE,Day of German Unity,German Unity Day celebrates Germany's unification in 1990. It is on October 3 each year.,National holiday,National holiday,All,3
11/2/14,2014,DE,All Souls' Day,All Souls’ Day falls on November 2 each year. It is a day of alms giving and prayers for the dead.,Silent Day,Observance|Christian,NDS (community),3
12/24/14,2014,DE,Christmas Eve,Christmas Eve is the day before Christmas Day and the start of the Christmas celebration. It always falls on December 24 in Germany.,Silent Day,Christian|Half-day holiday,All,3
12/25/14,2014,DE,Christmas Day,Christmas Day marks the birth of Jesus Christ and is a public holiday in Germany. It is on December 25 each year.,Christian,National holiday|Christian,All,3
12/26/14,2014,DE,Boxing Day,The Second Day of Christmas is a public holiday in Germany. It always falls on December 26.,Christian,National holiday|Christian,All,3
12/31/14,2014,DE,New Year's Eve,New Year's Eve in Germany is annually celebrated on December 31. It is the last day of the year in the Gregorian calendar.,Bank holiday,Half-day holiday,All,3
1/1/15,2015,DE,New Year's Day,"New Year's Day, which is on January 1, or the first day of the year in the Gregorian Calendar, is a public holiday in Germany.",National holiday,National holiday,All,3
2/18/15,2015,DE,Carnival / Ash Wednesday,Ash Wednesday marks the first day of Lent in western Christian churches.,Silent Day,Observance|Christian,All,3
4/2/15,2015,DE,Maundy Thursday,Maundy Thursday is a Christian observance on the Thursday during Holy Week. It is the day before Good Friday.,Silent Day,Observance|Christian,"BY, HE, NRW, RLP, SL",3
4/3/15,2015,DE,Good Friday,Many Christians in Germany observe the Good Friday public holiday to mark the crucifixion of Jesus Christ.,Christian,National holiday|Christian,All,3
4/4/15,2015,DE,Holy Saturday,Holy Saturday is the day before Easter Sunday.,Silent Day,Observance|Christian,"BY, HE, NDS, SL, RLP",3
4/6/15,2015,DE,Easter Monday,Many people in Germany annually observe Easter Monday on the day after Easter Sunday. It is a public holiday in all states.,Christian,National holiday|Christian,All,3
5/1/15,2015,DE,May Day,May Day in Germany is a holiday to celebrate the start of spring and to campaign for workers' rights. It is always on May 1.,National holiday,National holiday,All,3
5/14/15,2015,DE,Ascension Day,Ascension Day in Germany is on a Thursday 39 days after Easter Sunday.,Christian,National holiday|Christian,All,3
5/25/15,2015,DE,Whit Monday,"The Second Day of Pentecost is, which is on the Monday after Pentecost (or Whitsunday), is a public holiday in Germany.",Christian,National holiday|Christian,All,3
10/3/15,2015,DE,Day of German Unity,German Unity Day celebrates Germany's unification in 1990. It is on October 3 each year.,National holiday,National holiday,All,3
11/2/15,2015,DE,All Souls' Day,All Souls’ Day falls on November 2 each year. It is a day of alms giving and prayers for the dead.,Silent Day,Observance|Christian,NDS (community),3
12/24/15,2015,DE,Christmas Eve,Christmas Eve is the day before Christmas Day and the start of the Christmas celebration. It always falls on December 24 in Germany.,Silent Day,Christian|Half-day holiday,All,3
12/25/15,2015,DE,Christmas Day,Christmas Day marks the birth of Jesus Christ and is a public holiday in Germany. It is on December 25 each year.,Christian,National holiday|Christian,All,3
12/26/15,2015,DE,Boxing Day,The Second Day of Christmas is a public holiday in Germany. It always falls on December 26.,Christian,National holiday|Christian,All,3
12/31/15,2015,DE,New Year's Eve,New Year's Eve in Germany is annually celebrated on December 31. It is the last day of the year in the Gregorian calendar.,Bank holiday,Half-day holiday,All,3
1/1/16,2016,DE,New Year's Day,"New Year's Day, which is on January 1, or the first day of the year in the Gregorian Calendar, is a public holiday in Germany.",National holiday,National holiday,All,3
2/10/16,2016,DE,Carnival / Ash Wednesday,Ash Wednesday marks the first day of Lent in western Christian churches.,Silent Day,Observance|Christian,All,3
3/24/16,2016,DE,Maundy Thursday,Maundy Thursday is a Christian observance on the Thursday during Holy Week. It is the day before Good Friday.,Silent Day,Observance|Christian,"BY, HE, NRW, RLP, SL",3
3/25/16,2016,DE,Good Friday,Many Christians in Germany observe the Good Friday public holiday to mark the crucifixion of Jesus Christ.,Christian,National holiday|Christian,All,3
3/26/16,2016,DE,Holy Saturday,Holy Saturday is the day before Easter Sunday.,Silent Day,Observance|Christian,"BY, HE, NDS, SL, RLP",3
3/28/16,2016,DE,Easter Monday,Many people in Germany annually observe Easter Monday on the day after Easter Sunday. It is a public holiday in all states.,Christian,National holiday|Christian,All,3
5/1/16,2016,DE,May Day,May Day in Germany is a holiday to celebrate the start of spring and to campaign for workers' rights. It is always on May 1.,National holiday,National holiday,All,3
5/5/16,2016,DE,Ascension Day,Ascension Day in Germany is on a Thursday 39 days after Easter Sunday.,Christian,National holiday|Christian,All,3
5/16/16,2016,DE,Whit Monday,"The Second Day of Pentecost is, which is on the Monday after Pentecost (or Whitsunday), is a public holiday in Germany.",Christian,National holiday|Christian,All,3
10/3/16,2016,DE,Day of German Unity,German Unity Day celebrates Germany's unification in 1990. It is on October 3 each year.,National holiday,National holiday,All,3
11/2/16,2016,DE,All Souls' Day,All Souls’ Day falls on November 2 each year. It is a day of alms giving and prayers for the dead.,Silent Day,Observance|Christian,NDS (community),3
12/24/16,2016,DE,Christmas Eve,Christmas Eve is the day before Christmas Day and the start of the Christmas celebration. It always falls on December 24 in Germany.,Silent Day,Christian|Half-day holiday,All,3
12/25/16,2016,DE,Christmas Day,Christmas Day marks the birth of Jesus Christ and is a public holiday in Germany. It is on December 25 each year.,Christian,National holiday|Christian,All,3
12/26/16,2016,DE,Boxing Day,The Second Day of Christmas is a public holiday in Germany. It always falls on December 26.,Christian,National holiday|Christian,All,3
12/31/16,2016,DE,New Year's Eve,New Year's Eve in Germany is annually celebrated on December 31. It is the last day of the year in the Gregorian calendar.,Bank holiday,Half-day holiday,All,3
1/1/17,2017,DE,New Year's Day,"New Year's Day, which is on January 1, or the first day of the year in the Gregorian Calendar, is a public holiday in Germany.",National holiday,National holiday,All,3
3/1/17,2017,DE,Carnival / Ash Wednesday,Ash Wednesday marks the first day of Lent in western Christian churches.,Silent Day,Observance|Christian,All,3
4/13/17,2017,DE,Maundy Thursday,Maundy Thursday is a Christian observance on the Thursday during Holy Week. It is the day before Good Friday.,Silent Day,Observance|Christian,"BY, HE, NRW, RLP, SL",3
4/14/17,2017,DE,Good Friday,Many Christians in Germany observe the Good Friday public holiday to mark the crucifixion of Jesus Christ.,Christian,National holiday|Christian,All,3
4/15/17,2017,DE,Holy Saturday,Holy Saturday is the day before Easter Sunday.,Silent Day,Observance|Christian,"BY, HE, NDS, SL, RLP",3
4/17/17,2017,DE,Easter Monday,Many people in Germany annually observe Easter Monday on the day after Easter Sunday. It is a public holiday in all states.,Christian,National holiday|Christian,All,3
5/1/17,2017,DE,May Day,May Day in Germany is a holiday to celebrate the start of spring and to campaign for workers' rights. It is always on May 1.,National holiday,National holiday,All,3
5/25/17,2017,DE,Ascension Day,Ascension Day in Germany is on a Thursday 39 days after Easter Sunday.,Christian,National holiday|Christian,All,3
6/5/17,2017,DE,Whit Monday,"The Second Day of Pentecost is, which is on the Monday after Pentecost (or Whitsunday), is a public holiday in Germany.",Christian,National holiday|Christian,All,3
10/3/17,2017,DE,Day of German Unity,German Unity Day celebrates Germany's unification in 1990. It is on October 3 each year.,National holiday,National holiday,All,3
10/31/17,2017,DE,Reformation Day,"Reformation Day in Germany is annually observed on October 31 to remember the Reformation, a time of big religious change between 1517 CE and 1648 CE.",National holiday,National holiday,All,3
11/2/17,2017,DE,All Souls' Day,All Souls’ Day falls on November 2 each year. It is a day of alms giving and prayers for the dead.,Silent Day,Observance|Christian,NDS (community),3
12/24/17,2017,DE,Christmas Eve,Christmas Eve is the day before Christmas Day and the start of the Christmas celebration. It always falls on December 24 in Germany.,Silent Day,Christian|Half-day holiday,All,3
12/25/17,2017,DE,Christmas Day,Christmas Day marks the birth of Jesus Christ and is a public holiday in Germany. It is on December 25 each year.,Christian,National holiday|Christian,All,3
12/26/17,2017,DE,Boxing Day,The Second Day of Christmas is a public holiday in Germany. It always falls on December 26.,Christian,National holiday|Christian,All,3
12/31/17,2017,DE,New Year's Eve,New Year's Eve in Germany is annually celebrated on December 31. It is the last day of the year in the Gregorian calendar.,Bank holiday,Half-day holiday,All,3
1/1/18,2018,DE,New Year's Day,"New Year's Day, which is on January 1, or the first day of the year in the Gregorian Calendar, is a public holiday in Germany.",National holiday,National holiday,All,3
2/14/18,2018,DE,Carnival / Ash Wednesday,Ash Wednesday marks the first day of Lent in western Christian churches.,Silent Day,Observance|Christian,All,3
3/29/18,2018,DE,Maundy Thursday,Maundy Thursday is a Christian observance on the Thursday during Holy Week. It is the day before Good Friday.,Silent Day,Observance|Christian,"BY, HE, NRW, RLP, SL",3
3/30/18,2018,DE,Good Friday,Many Christians in Germany observe the Good Friday public holiday to mark the crucifixion of Jesus Christ.,Christian,National holiday|Christian,All,3
3/31/18,2018,DE,Holy Saturday,Holy Saturday is the day before Easter Sunday.,Silent Day,Observance|Christian,"BY, HE, NDS, SL, RLP",3
4/2/18,2018,DE,Easter Monday,Many people in Germany annually observe Easter Monday on the day after Easter Sunday. It is a public holiday in all states.,Christian,National holiday|Christian,All,3
5/1/18,2018,DE,May Day,May Day in Germany is a holiday to celebrate the start of spring and to campaign for workers' rights. It is always on May 1.,National holiday,National holiday,All,3
5/10/18,2018,DE,Ascension Day,Ascension Day in Germany is on a Thursday 39 days after Easter Sunday.,Christian,National holiday|Christian,All,3
5/21/18,2018,DE,Whit Monday,"The Second Day of Pentecost is, which is on the Monday after Pentecost (or Whitsunday), is a public holiday in Germany.",Christian,National holiday|Christian,All,3
10/3/18,2018,DE,Day of German Unity,German Unity Day celebrates Germany's unification in 1990. It is on October 3 each year.,National holiday,National holiday,All,3
11/2/18,2018,DE,All Souls' Day,All Souls’ Day falls on November 2 each year. It is a day of alms giving and prayers for the dead.,Silent Day,Observance|Christian,NDS (community),3
12/24/18,2018,DE,Christmas Eve,Christmas Eve is the day before Christmas Day and the start of the Christmas celebration. It always falls on December 24 in Germany.,Silent Day,Christian|Half-day holiday,All,3
12/25/18,2018,DE,Christmas Day,Christmas Day marks the birth of Jesus Christ and is a public holiday in Germany. It is on December 25 each year.,Christian,National holiday|Christian,All,3
12/26/18,2018,DE,Boxing Day,The Second Day of Christmas is a public holiday in Germany. It always falls on December 26.,Christian,National holiday|Christian,All,3
12/31/18,2018,DE,New Year's Eve,New Year's Eve in Germany is annually celebrated on December 31. It is the last day of the year in the Gregorian calendar.,Bank holiday,Half-day holiday,All,3
